id,source
"112470000254501","/images/maps/poland/2007pl92103s.jpg"
"112470000254529","/images/maps/bulgaria/2007bg90302s.jpg"
"112470000254570","/images/maps/poland/2007pl92101s.jpg"
"112470000254618","/images/maps/czech_republic/2007cz22090s.jpg"
"112470000254653","/images/maps/latvia/2007lv91801s.jpg"
"112470000254679","/images/maps/czech_republic/2007cz23020s.jpg"
"112470000254799","/images/maps/czech_republic/2007cz90501s.jpg"
"112470000254846","/images/maps/czech_republic/2007cz90503s.jpg"
"112470000254884","/images/maps/estonia/2007ee27010s.jpg"
"112470000255616","/images/maps/estonia/2007ee27020p.jpg"
"112470000255752","/images/maps/greece/2007el07020s.jpg"
"112470000255829","/images/maps/greece/2007el07040s.jpg"
"112470000255927","/images/maps/greece/2007el29010s.jpg"
"112470000256006","/images/maps/greece/2007el29030s.jpg"
"112470000256125","/images/maps/greece/2007el90901s.jpg"
"112470000258190","/images/maps/latvia/2007lv27060p.jpg"
"112470000258228","/images/maps/latvia/2007lv27050s.jpg"
"112470000258619","/images/maps/multi_country/2007eu22070s.jpg"
"112470000258667","/images/maps/multi_country/2007eu91203p.jpg"
"112470000258715","/images/maps/hungary/2007hu06100s.jpg"
"112470000258823","/images/maps/lithuania/2007lt27030p.jpg"
"112470000258887","/images/maps/lithuania/2007lt27040s.jpg"
"112470000258959","/images/maps/lithuania/2007lt91601p.jpg"
"112470000259037","/images/maps/slovenia/2007si60460s.jpg"
"112470000264153","/images/maps/priority_projects/pp_1.jpg"
"112470000265410","/images/maps/france/2007fr91207s.jpg"
"112470000265844","/images/maps/multi_country/2007eu30010p.jpg"
"112470000266684","/images/maps/denmark/2007dk20070s.jpg"
"112470000268596","/images/maps/hungary/2007hu91301s.jpg"
"112470000268644","/images/maps/hungary/2007hu91302p.jpg"
"112470000269394","/images/maps/poland/2007pl92105s.jpg"
"112470000269431","/images/maps/multi_country/2006eu93016s.jpg"
"112470000269476","/images/maps/bulgaria/2007bg90304s.jpg"
"112470000269503","/images/maps/denmark/2007dk90701s.jpg"
"112470000270490","/images/maps/romania/2007ro92301s.jpg"
"112470000270666","/images/maps/multi_country/2007eu15010s.jpg"
"112470000270835","/images/maps/spain/2007es91003p.jpg"
"112470000272064","/images/maps/france/2007fr91209s.jpg"
"112470000273015","/images/maps/multi_country/2007eu19010p.jpg"
"112470000273820","/images/maps/priority_projects/pp08_road.png"
"112470000273823","/images/maps/priority_projects/pp11_road.png"
